fecha,hora,sorteo,pares
"Sábado 21 de Junio, 2025",11:00 AM,#11540,51
"Viernes 20 de Junio, 2025",9:00 PM,#11539,87
"Viernes 20 de Junio, 2025",3:00 PM,#11538,93
"Viernes 20 de Junio, 2025",11:00 AM,#11537,07
"Jueves 19 de Junio, 2025",9:00 PM,#11536,01
"Jueves 19 de Junio, 2025",3:00 PM,#11535,99
"Jueves 19 de Junio, 2025",11:00 AM,#11534,84
"Miércoles 18 de Junio, 2025",9:00 PM,#11533,48
"Miércoles 18 de Junio, 2025",3:00 PM,#11532,51
"Miércoles 18 de Junio, 2025",11:00 AM,#11531,18
"Martes 17 de Junio, 2025",9:00 PM,#11530,70
"Martes 17 de Junio, 2025",3:00 PM,#11529,21
"Martes 17 de Junio, 2025",11:00 AM,#11528,59
"Lunes 16 de Junio, 2025",9:00 PM,#11527,35
"Lunes 16 de Junio, 2025",3:00 PM,#11526,93
"Lunes 16 de Junio, 2025",11:00 AM,#11525,53
"Domingo 15 de Junio, 2025",9:00 PM,#11524,04
"Domingo 15 de Junio, 2025",6:00 PM,#11523,10
"Domingo 15 de Junio, 2025",3:00 PM,#11522,90
"Domingo 15 de Junio, 2025",11:00 AM,#11521,55
"Sábado 14 de Junio, 2025",9:00 PM,#11520,78
"Sábado 14 de Junio, 2025",6:00 PM,#11519,13
"Sábado 14 de Junio, 2025",3:00 PM,#11518,95
"Sábado 14 de Junio, 2025",11:00 AM,#11517,75
"Viernes 13 de Junio, 2025",9:00 PM,#11516,90
"Viernes 13 de Junio, 2025",3:00 PM,#11515,34
"Viernes 13 de Junio, 2025",11:00 AM,#11514,03
"Jueves 12 de Junio, 2025",9:00 PM,#11513,11
"Jueves 12 de Junio, 2025",3:00 PM,#11512,33
"Jueves 12 de Junio, 2025",11:00 AM,#11511,53
"Miércoles 11 de Junio, 2025",9:00 PM,#11510,48
"Miércoles 11 de Junio, 2025",3:00 PM,#11509,43
"Miércoles 11 de Junio, 2025",11:00 AM,#11508,29
"Martes 10 de Junio, 2025",9:00 PM,#11507,23
"Martes 10 de Junio, 2025",3:00 PM,#11506,06
"Martes 10 de Junio, 2025",11:00 AM,#11505,18
"Lunes 09 de Junio, 2025",9:00 PM,#11504,48
"Lunes 09 de Junio, 2025",3:00 PM,#11503,46
"Lunes 09 de Junio, 2025",11:00 AM,#11502,75
"Domingo 08 de Junio, 2025",9:00 PM,#11501,39
"Domingo 08 de Junio, 2025",3:00 PM,#11500,78
"Domingo 08 de Junio, 2025",11:00 AM,#11499,19
"Sábado 07 de Junio, 2025",9:00 PM,#11498,02
"Sábado 07 de Junio, 2025",6:00 PM,#11497,20
"Sábado 07 de Junio, 2025",3:00 PM,#11496,87
"Sábado 07 de Junio, 2025",11:00 AM,#11495,00
"Viernes 06 de Junio, 2025",9:00 PM,#11494,72
"Viernes 06 de Junio, 2025",3:00 PM,#11493,44
"Viernes 06 de Junio, 2025",11:00 AM,#11492,15
